kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R10002;WR ALVIN MADURA;TKO;JALAN H MERIN;-6.2087554;106.7366944;Internal;
R10182;TOKO LUKMAN;TKO;JL H SAABA RAYA;-6.2037461;106.7357022;Internal;
R10572;WARUNG DAVID RANGGA;TKO;JL.KEMBANGAN RAYA NO.12 RT.001 RW.003;-6.1777405;106.7440922;Internal;
R10604;TOKO DIAN;TKO;JL DARMA WANITA 4 RT.11/3;-6.1653917;106.7090578;Internal;
R11275;ASEP;TKO;JL PERMATA 3 NO 1;-6.1003476;106.7077481;Internal;
R11277;MADURA PIPIT;TKO;JL PERMATA 3 NO 10;-6.1003196;106.7077368;Internal;
R12947;WARUNG EKI;TKO;JL KEMBANGAN RAYA;-6.2078497;106.7362922;Internal;
R13959;TOKO ADI;TKO;JL PREPEDAN DALAM NO 3;-6.1103634;106.7024914;Internal;
R13962;TOKO AWAM;TKO;JL PREPEDAN DALAM NO 51;-6.1104635;106.7027451;Internal;
R13963;TOKO SRI;TKO;JL PREPEDAN DALAM NO 40;-6.1103937;106.7025358;Internal;
R13965;WARUNG ANTON;TKO;JL PREPEDAN DALAM NO 50;-6.1103884;106.7024893;Internal;
R15107;WARUNG MAKNDE ZELA;TKO;JALAN RUSUNAWA PESAKIH BLOK D;-6.1615803;106.7173665;Internal;
R15111;WARUNG BEWOK;TKO;JALAN RUSUNAWA PESAKIH BLOK D;-6.1614613;106.7172316;Internal;
R15225;WARUNG HAKIM;TKO;JL KP RW BOKOR NO 90;-6.1142004;106.6975756;Internal;
R15235;WARUNG BU MILA;TKO;JALAN RUSUNAWA PESAKIH BLOK F;-6.1616363;106.7156071;Internal;
R15438;TOKO RAHMAH;TKO;JL CONDET RAYA NO 51;-6.1121472;106.7052704;Internal;
R15456;WARUNG IWAN;TKO;JL MANYAR RAYA NO 3;-6.1184863;106.7112882;Internal;
R19877;SARI BUMI;TKO;JL.KH ABDUL HAMID 1;-6.1752073;106.6793852;Internal;
R21861;TOKO VINO WIBOWO;TKO;JL MANDOR AMIN;-6.1773661;106.7411286;Internal;
R21935;TOKO YAMAN;TKO;JLN HAJI KASAM 1 RT 07 RW 04;-6.2096266;106.7370518;Internal;
R21948;WARUNG RANDI;TKO;JLN HAJI KASAM;-6.2089583;106.7353633;Internal;
R21984;TOKO ABDUL JAYA;TKO;JLN KARTIKA MERUYA UTARA RW03 RT04;-6.2037257;106.7357357;Internal;
R22053;TOKO BERKAH LESTARI;TKO;JLN MANUNGGAL;-6.2057202;106.7421148;Internal;
R22087;TOKO TONI KALI 5;TKO;JLN MERUYA UTARA;-6.198764;106.7410385;Internal;
R22171;OUTLET AGUN;TKO;JLN KEMBANGAN MASJID AT TAQWA;-6.1751657;106.7343442;Internal;
R22176;MPOK LIA;TKO;MASJID AT TAQWA;-6.1743436;106.7342191;Internal;
R22188;TOKO GRACE;TKO;JL AL FALAH;-6.1741058;106.7351859;Internal;
R22199;TOKO YOLAN;TKO;JLN.MADRASAH;-6.1674118;106.7334848;Internal;
R22220;WARUNG IBU NONENG;TKO;JLN.MADRASAH;-6.1684346;106.7332709;Internal;
