kode_customer;nama_toko;pemilik;no_hp;alamat;kelurahan;kecamatan;kota;provinsi;lat;lng;kategori_toko;omzet_estimasi;salesman_id;status
8363182;Alfamart;;;Jl. Sawah Lio No.Kel 2, RT.2/RW.6;JEMBATAN LIMA;TAMBORA;JAKARTA BARAT;DKI JAKARTA;-6.146858;106.804531;Minimarket;;;Aktif
8363339;Alfamart;;;Jl. Budi Raya No.02 1, RT.1/RW.5;KEBON JERUK;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.193008;106.782173;Minimarket;;;Aktif
12888288;Toko Indi;;;Jl. H. Mandor Ramin No.3 2, RT.1/RW.3;KEMBANGAN UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.177795;106.743263;Minimarket;;;Aktif
12472265;JANGKUNG TEMPE;;;Komp.pik kopti No.61 9, RT.9/RW.11;SEMANAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.172205;106.699602;Vegetable Store;;;Aktif
9925889;Warung Sayur Mbak Warti;;;Srengseng;SRENGSENG;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.208698;106.748927;Vegetable Store;;;Aktif
8363325;Alfamart;;;Jl Assirot Rt 12/1 Kel, RT.12/RW.1;SUKABUMI SELATAN;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.225698;106.775004;Minimarket;;;Aktif
8363299;Alfamart;;;Jl. Panjang Cidodol No.6, RT.6/RW.004 Kel;SUKABUMI SELATAN;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.220963;106.771682;Minimarket;;;Aktif
11105928;Prima Freshmart Kebayoran Lama;;;6, Jl. Bang Pitung No.3, RT.6/RW.1;SUKABUMI UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.213293;106.779117;Frozen Food;;;Aktif
8363805;Alfamart;;;Jl. Tanjung Duren Timur No.8 9, RT.5/RW.5;TANJUNG DUREN SELATAN;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.177151;106.786775;Minimarket;;;Aktif
8363367;Alfamart;;;Jl. Basmol Raya Rt.11/04 Kemba, Kel, RT.8/RW.4;KEMBANGAN UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.164771;106.749608;Minimarket;;;Aktif
8363333;Alfamart Kedoya Duri Raya 2;;;Jl Kedoya Duri Raya 56F/56G Kel, RT.6/RW.1;KEDOYA SELATAN;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.183518;106.76712;Minimarket;;;Aktif
8363758;Alfamart Jalan AA;;;Jl. Aa No. 17A 5;SUKABUMI SELATAN;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.222597;106.76877;Minimarket;;;Aktif
7855132;indomaret kopkamtib joglo;;;Jl. Joglo Raya No.46 7, RT.7/RW.2;JOGLO;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.21921;106.726837;Minimarket;;;Aktif
8364819;Indomaret Taman S Parman. TCMJ;;;Taman S. Parman Blok B-C No.A26, RT.7/RW.8;TOMANG;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.169991;106.789487;Minimarket;;;Aktif
7227425;Emma Frozen Food & Cake, Keutamaan Dalam;;;Jl. Keutamaan Dalam;KRUKUT;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.156183;106.811194;Frozen Food;;;Aktif
12425660;Indomaret Fresh;;;Jl. Tomang Raya No.41 12, RT.12/RW.5;TOMANG;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.176024;106.801035;Minimarket;;;Aktif
7880981;Familymart Hayam Wuruk Tower;;;Hayam Wuruk Tower, Jl. Hayam Wuruk;MAPHAR;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.152266;106.81776;Minimarket;;;Aktif
8363798;Alfamart Duri Mas Raya;;;Jl. Duri Mas II No.Blok D/20, RT.2/RW.10;DURI KEPA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.179092;106.771612;Minimarket;;;Aktif
8412856;Alfamidi Srengseng Raya;;;Jl. Srengseng Raya No.86, RT.10/RW.5;SRENGSENG;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.207521;106.758422;Minimarket;;;Aktif
